PARTY,CONSTITUENCY,NAME,SENTIMENT,SYMBOL,GENDER,REVIEWS,
BJP,ADILABAD,SOYAM BAPU RAO,1,Lotus,MALE, municipal floor leader and councillors protesting against the corruptions and illegal construction and other activities for good,
TRS,ADILABAD,Godam Nagesh,0,Car,MALE,"Telangana is suffering; corruption, lawlessness, monarchy, appeasement, unemployment, betrayal of public trust in the state.",
INC,ADILABAD,RATHOD RAMESH,1,Hand,MALE,Save Democracy for the people of Telangana,
NOTA,ADILABAD,NOTA,1,,,Some  argue that the development of certain states during the last 10 years should not be attributed to Congress since it is not UPA but the strong heads of the states who have continued to run the growth engine. ,
BJP,AGRA,Satyapal Singh Baghel,1,Lotus,MALE,"And.....a master stroke by BJP.....""the three Agricultural Acts will be repealed""",
BSP,AGRA,Manoj Kumar Soni,1,Elephant,MALE,"Only BSP's Political power is master key,for every India",
INC,AGRA,Preeta Harit,0,Hand,FEMALE,You will see big attempts to provoke dalits & many more cases will be created to generate unrest among #Dalits.This is bad,
BJP,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,1,Lotus,MALE,tiredlessly  excellent working towards ensuring the MVA Sarkar is accountable for its mistakes.,
NCP,AHMADNAGAR,SANGRAM ARUNKAKA JAGTAP,1,Clock,MALE,"Just remembering 15,000 crore package to help states, that was declared last year? The worst finance minister ever in India",
VBA,AHMADNAGAR,SUDHAKAR LAXMAN AVHAD,1,Cup & Saucer,MALE,Is there any political party in MH other than #VBA who is trying to give representation to transgenders?Answer is big NO...,
BJP,AHMEDABAD EAST,Patel Hasmukhbhai Somabhai,1,Lotus,MALE,Modi Govt is changing the way public facilities are imagined. Now new swanky Railway stations are being built which will have facilities similar to Airports!So Nice ,
INC,AHMEDABAD EAST,Gitaben Patel,0,Hand,FEMALE,Children Risks their life to reach School in Kheda Gujarat.,
BJP,AHMEDABAD WEST,DR. KIRIT P. SOLANKI,1,Lotus,MALE,"India's digital revolution is powered by enterprise and innovation of our youth, turning challenges of past into opportunities for future: PM ",
INC,AHMEDABAD WEST,RAJU PARMAR,0,Hand,MALE,Congress INSULTS GUJARATI PEOPLE. WHY ITALI PEOPLE JEALOUS ABOUT GUJARAT MODEL . SO SAD,
NOTA,AHMEDABAD WEST,NOTA,1,,,ok,
BSP,AHMEDABAD WEST,TRIBHOVANDAS KARSANDAS VAGHELA,1,Elephant,MALE,"To Bring Political Transformation, Social Transformation Is Necessary!So,maintain social transformation and public trust",
BJP,AJMER,Bhagirath Chaudhary,1,Lotus,MALE,"good progress , security to woman , corruption-free , all inclusive, globalized life inside of the great historical punya theertha, punya bhoomi ",
INC,AJMER,Riju Jhunjhunwala,1,Hand,MALE,position in congress was Raja.In bjp has been to praja.,
BSP,AJMER,Durga Lal Regar,0,Elephant,MALE,"As far as matter related to the minorities are concerned ,the approach is quite negative !!",
APoI,AJMER,Vishram Babu,1,Coat,MALE,Api is best party,
BJP,AKBARPUR,Devendra Singh 'Bhole',1,Lotus,MALE,"And.....a master stroke by BJP.....""the three Agricultural Acts will be repealed""",
BSP,AKBARPUR,Nisha Sachan,1,Elephant,FEMALE,"Only BSP's Political power is master key,for every India",
INC,AKBARPUR,Rajaram Pal,1,Hand,MALE,I think it would be appropriate at this point to thank Indian Congress,
BJP,AKOLA,Dhotre Sanjay Shamrao,1,Lotus,MALE,tiredlessly excellent working towards ensuring the MVA Sarkar is accountable for its mistakes.,
VBA,AKOLA,Ambedkar (Adv) Prakash Yashwant,0,Cup & Saucer,MALE,Is there any political party in MH other than #VBA who is trying to give representation to transgenders?Answer is big NO...,
INC,AKOLA,Hidayatullah Barakatullah Patel,1,Hand,MALE,"Nanded civic polls brings annand congress,the revival had already began #Congress #incmaharastra we want development ",
CPI(M),ALAPPUZHA,Adv. A M ARIFF,1,"Hammer, Sickle and Star",MALE,"Looking at current economic, employment and overall situation of India, I would say Congress is million times better than BJP.",
INC,ALAPPUZHA,Adv. SHANIMOL OSMAN,1,Hand,FEMALE,Best politics... ,
BJP,ALAPPUZHA,Dr. K. S. RADHAKRISHNAN,1,Lotus,MALE, BJP is set forth for greater things to achieve for the people of Pandalam.,
CPI(M),ALATHUR,DR. P.K.BIJU,0,"Hammer, Sickle and Star",MALE,MLA mukesh is everything wrong with our system. He should apologize publicly to the student ,
BDJS,ALATHUR,T.V.BABU,1,Pot,MALE,Police Station or Party Office? How #LeftistTerror victims can expect any justice from these biased law enforcers,
BJP,ALIGARH,SATISH KUMAR GAUTAM,1,Lotus,MALE,"And.....a master stroke by BJP.....""the three Agricultural Acts will be repealed""",
BSP,ALIGARH,DR. AJEET BALIYAN,1,Elephant,MALE,"Only BSP's Political power is master key,for every India",
INC,ALIGARH,BIJENDRA SINGH CHAUDHARY,1,Hand,MALE,Congress or Indian Nation Congress (INC) one of the oldest and known political parties of India,
BJP,ALIPURDUARS,JOHN BARLA,1,Lotus,MALE,BJP PCMC Social Media Team protest against the autocracies & violence against the BJP karyakartas & supporters in WestBengal.Keep going,
AITC,ALIPURDUARS,DASRATH TIRKEY,0,Flowers and Grass,MALE,Hindu homes were set on fire and bombs were hurled by Muslim mobs  in West Bengal. While #AITC goverment not taking strict actions against this act of vandalism by mob and on abuse of rights of Bengali Hindus.,
RSP,ALIPURDUARS,MILI ORAON,1,Spade & Stoker,FEMALE,"The RSP as part of the Left parties in India, has raised its voice against a number of agendas of the Congress-led UPA government.",
INC,ALIPURDUARS,MOHANLAL BASUMATA,0,Hand,MALE,Poor do not get free ration,
NOTA,ALIPURDUARS,NOTA,0,,,None,
BJP,ALLAHABAD,Rita Bahuguna Joshi,1,Lotus,FEMALE,Modi-Yogi partnership is fulfilling the Dream of Uttar Pradesh i.e. ONE DISTRICT ONE MEDICAL COLLEGE ,
SP,ALLAHABAD,Rajendra Singh Patel,0,Bicycle,MALE,No agenda set for bufflo. #7bufflo quit #sputtarpradesh.,
INC,ALLAHABAD,Yogesh Shukla,1,Hand,MALE, #INCUttarPradesh will do everything to create divide making Hidnus with dalit card being played prominently with #BhimArmyYou will see big attempts to provoke dalits & many more cases will be created to generate unrest among #Dalits,
CPI(M),ALLAHABAD,Girdhar Gopal Tripathi,1,Ears of Corn And Sickle,MALE,The CPI(M) State committee has publicly censured former Public Works,
